ROOM,1,2,3,4,5,6,7,8,9,10
A002,,,,,,,,,,
A009,,,,,,,,,,
A019,,,,,,,,,,
A022,,,,,,,,,,
A025,,,,,,,,,,
A121,,,,,,,,,,
A122,,,BIO F110,BIO F110,,,,,,
A123,,BIO G514,BIO G514,,,,,,,
A124,,,,,,,,,,
A210,,,,,,,,,,
A211,,,,,,,,,,
A222,,,PHY F110,PHY F110,,,,,,
A223,,,,,,,,,,
B108,,,,,,,,,,
B124,,,CHEM F110,CHEM F110,,,,,,
B212,,,,,,,,,,
D110,,,,,,,,,,
D123,,,,,,,,,,
D127,,,,,,,,,,
D208 A,CHE F314,,BITS F110,BITS F110,,,,,,
D208 B,,,,,,,,,,
D208 C,,,,,,,,,,
D224,,,,,,,,,,
D311,,,,CS F111,CS F111,,,,,
D312,,,,,,,,,,
D313,,,,,,,,,,
D331,,,,,,,,,,
D331A,,,,,,,,,,
E002,,,,,,,,,,
E122,,,,,,,,,,
F101,,,,,,,,,,
F102,BITS F110,BITS F111,CS F372,CS F213,CS F351,,,,,
F103,BITS F110,CHEM F111,ME F317,ME F217,,,,,,
F104,ME F112,MATH F111,EEE F311,,EEE F434,,,,,
F105,ME F112,EEE F111,EEE F311,BITS F232,,,,,,
F106,,EEE F411,,CS F320,,,,,,
F107,,BITS F311,,PHY F212,,,,,,
F108,,BITS F312,,PHY F212,MEL G621,,,,,
F109,CE F213,,CE F320,CE F213,CE F312,,,,,
F201,,CE G567,CE G551,,CE G619,,,,,
F202,,,CE G537,CE G571,CE G572,,,,,
F203,,,CE G620,CE G614,CE G612,,,,,
F204,,CHE G528,CHE G622,,CHE F313,,,,,
F205,,ECON F212,,CHE F214,,,,,,
F207,,ECON F212,,ECON F213,,,,,,
F208,,FIN F315,,FIN F311,MATH F212,,,,,
G101,CHEM F213,CHEM F311,CHEM F214,,,,,,,
G102,BIO F214,BIO F312,BIO G525,BIO F214,,,,,,
G103,ME F217,CHEM F416,CHEM G554,,CHEM G553,,,,,
G104,ME F217,,,BITS F467,,,,,,
G105,ME F217,,PHA G625,BIO G510,,,,,,
G106,ME F217,,PHA F312,PHA F215,PHA F311,,,,,
G107,,,PHA G535,,PHA G540,,,,,
G108,ME G521,MATH F312,PHA G547,MATH F212,,,,,,
G201,PHY F211,PHY F311,,BITS F316,,,,,,
G202,,PHY F112,,MSE G511,,,,,,
G203,,,,ME F485,,,,,,
G204,,,BITS E661,,,,,,,
G205,,ME G613,MSE G521,PHY F212,ME G535,,,,,
G206,DE G531,ME G539,ME G532,PHY F212,,,,,,
G207,CHE F212,ME F443,ME G511,PHY F212,,,,,,
G208,,ECON F311,INSTR F311,PHY F212,,,,,,
H106,,EEE G612,EEE G612,,,,,,,
I011,,,,,,,,,,
I012,,INSTR F215,INSTR F215,,,,,,,
I013,,INSTR F215,INSTR F215,,,,,,,
I014,,,,,,,,,,
I015,,,,,,,,,,
I111,CS F222,,,CS G525,,,,,,
I112,CS F222,,,INSTR F424,,,,,,
I113,INSTR F215,,,MATH F424,,,,,,
I114,INSTR F215,,,,,,,,,
I115,,,,,,,,,,
I122,INSTR F215,,,,,,,,,
I124,,MEL G626,MEL G626,,,,,,,
I210,INSTR F215,,,BIO G512,,,,,,
I211,INSTR F215,,EEE G614,PHA F422,MEL G624,,,,,
I212,,,,,,,,,,
I213,INSTR F211,BITS F386,,MEL G631,,,,,,
I214,,MEL G611,MEL G611,,,,,,,
I221,INSTR F211,,,EEE G581,,,,,,
I222,INSTR F211,,,,,,,,,
J105,,,,,,,,,,
J106,,,,,,,,,,
J107,BITS F437,HSS F363,GS F211,ECON F215,,,,,,
J115,MATH F212,GS F312,HSS F228,HSS F346,,,,,,
J119,MATH F212,HSS F336,,BITS G524,BITS G526,,,,,
J120,MATH F212,,HSS F237,HSS F247,,,,,,
J121,MATH F212,,,,,,,,,
J204,,,,,,,,,,
J206,MATH F212,,,,,,,,,
J214,,,,,,,,,,
J217,,ECON F242,HSS F328,ECON F351,,,,,,
J218,,,,,,,,,,
J219,,,HSS F361,,,,,,,
J220,,,,,,,,,,
K125,,,,,,,,,,
LAB,,,,EEE G614,EEE G614,,,,,
WS,,INSTR F211,ME F112,ME F112,ME F112,INSTR F211,INSTR F211,INSTR F211,INSTR F211,
