ROOM,1,2,3,4,5,6,7,8,9,10
A002,,,,,,,,BIO G525,BIO G525,
A009,,,,,,,,PHA G619,PHA G619,
A019,,,,,,,,,,
A022,,,,,,,PHA F244,PHA F244,,
A025,,,,,,PHA F217,PHA F217,,,
A121,,BIO G526,BIO G526,,,,,,,
A122,,,BIO F110,BIO F110,BIO F110,BIO F110,,,,
A123,,,,,,,BIO F212,BIO F212,BIO F212,
A124,,,,,,BIO G561,BIO G561,BIO G651,BIO G651,
A210,,,,,,,,,,
A211,,PHY F214,PHY F214,,,,,,,
A222,,,PHY F110,PHY F110,PHY F110,PHY F110,,,,
A223,,,,,,,,,,
B108,,,,,,,,,,
B124,,,CHEM F110,CHEM F110,CHEM F110,CHEM F110,,,,
B212,,,,,,,,,,
D110,,,,,,,,,,
D123,,,,,,,,,,
D127,,,,,,,,,,
D208 A,,,BITS F110,BITS F110,BITS F110,BITS F110,,CE G552,CE G552,
D208 B,,,,,,,,CHE G523,CHE G523,
D208 C,,,,,,,DE G531,DE G531,,
D224,,,,,,,,CE G572,CE G572,
D311,,,CS F111,CS F111,CS F111,CS F111,,,,
D312,,,,,,,,,,
D313,,CS F213,CS F213,,,,CS F342,CS F342,,
D331,,,,,,,,,,
D331A,,,,,,,,,,
E002,,,,,,ME F216,ME F216,,,
E122,,ME F217,ME F217,,,,,CE F312,CE F312,
F101,,,,,,,,,,ECON F415
F102,ME F211,BITS F111,CS F301,CS F213,CS F351,,,,CS F372,
F103,BITS F112,CHEM F111,ME F317,ME F217,ME F315,,,,ME F316,
F104,BITS F112,MATH F111,EEE F311,,EEE F434,,,,,
F105,BITS F112,EEE F111,EEE F311,BITS F232,,,,,ECE F314,ECE F314
F106,,EEE F411,,CS F320,,,,CHEM F111,,
F107,PHY F212,BITS F311,,PHY F212,,,,BITS F111,,
F108,PHY F212,BITS F312,,PHY F212,MEL G621,,,BITS F111,,
F109,CE F211,,CE F320,CE F213,CE F312,,,BITS F111,CE F231,
