ROOM,1,2,3,4,5,6,7,8,9,10
A002,,,,,,,,BIO G525,BIO G525,
A009,,,,,,PHA F215,PHA F215,PHA G619,PHA G619,
A019,,,,,,,,,,
A022,,,,,,,PHA G542,PHA G542,PHA G542,PHA G542
A025,,PHA F217,PHA F217,,,,PHA F312,PHA F312,,
A121,,BIO G526,BIO G526,,,,,,,
A122,,,BIO F110,BIO F110,BIO F110,BIO F110,,,,
A123,,,,,,,BIO F212,BIO F212,BIO F212,
A124,,,,,,BIO G561,BIO G561,BIO G651,BIO G651,
A210,,,,,,,,,,
A211,,PHY F214,PHY F214,,,,,,,
A222,,,PHY F110,PHY F110,,,,,,
A223,,,,,PHY F110,PHY F110,,,,
B108,,,,,,,,,,
B124,,,CHEM F110,CHEM F110,CHEM F110,CHEM F110,,,,
B212,,,,,,,,,,
D110,,,,,,CE F213,CE F213,,,
D123,,,,,,,,,,
D127,,,,,,,,,,
D208 A,,,BITS F110,BITS F110,,CE G562,CE G562,ME G535,ME G535,
D208 B,,,,,,,,CHE G523,CHE G523,
D208 C,,,,,,,DE G531,DE G531,,
D224,,,,,,CE G567,CE G567,CE G545,CE G545,
D311,,,CS F111,CS F111,,,,,,
D312,,,,,,,,,,
D313,,CS F213,CS F213,,,,,,,
D331,,,,,,,,CE G617,CE G617,
D331A,,,,,,,,,,
E002,,,,,,ME F216,ME F216,,,
E122,,,,,,,,,,
F101,,,,,,,,,,ECON F415
F102,,BITS F111,CS F301,CS F213,CS F351,,,,CS F372,
F103,BITS F112,CHEM F111,,ME F217,ME F315,,,,ME F316,
F104,BITS F112,MATH F111,EEE F311,,EEE F434,,,,,
F105,BITS F112,EEE F111,EEE F311,BITS F232,,,,,ECE F314,ECE F314
F106,,EEE F411,,CS F320,,,,CHEM F111,,
F107,,BITS F311,,PHY F212,,,,BITS F111,,
F108,,BITS F312,,PHY F212,MEL G621,,,BITS F111,,
F109,CE F230,,CE F320,CE F213,CE F312,,,BITS F111,,
F201,CHE F214,CE G567,CE G551,,CE G619,,,BITS F111,BITS F218,
F202,,,CE G537,CE G571,CE G572,,,,,
F203,,,CE G620,CE G614,CE G612,,,BIO F311,BIO F313,
F204,,CHE G528,CHE G622,,,,,CHEM F311,CHEM F312,
F205,,ECON F212,,CHE F214,,,,BITS F111,CHE F314,
F207,ECON F214,ECON F212,,ECON F213,,,,BITS F111,,
F208,,FIN F315,,FIN F311,MATH F212,,,BITS F111,,
G101,CHEM F212,CHEM F311,CHEM F214,,,,,CHEM F111,BITS F110,
G102,BIO F213,BIO F312,BIO G525,BIO F214,,,,,BITS F110,CHEM F111
G103,ME F212,CHEM F416,CHEM G554,,CHEM G553,,,CHEM F111,BITS F110,BIO F216
G104,ME F212,,,BITS F467,,,,CHEM F111,BITS F110,
G105,ME F212,,PHA G625,BIO G510,,,,CHEM F111,BITS F110,
G106,ME F212,,PHA F312,PHA F215,PHA F311,,,,PHA F315,
G107,,,PHA G535,,PHA G540,,,CHEM F111,BITS F110,
G108,ME G521,MATH F312,PHA G547,MATH F212,,,,CHEM F111,BITS F110,
G201,PHY F111,PHY F311,,BITS F316,,,PHY F111,CHEM F111,BITS F110,PHY F417
G202,PHY F111,PHY F112,,MSE G511,,,PHY F111,CHEM F111,BITS F110,
G203,PHY F111,,,ME F485,,,PHY F111,BITS F111,BITS F110,
G204,PHY F111,,BITS E661,,,,PHY F111,BITS F111,,
G205,PHY F213,ME G613,MSE G521,PHY F212,ME G535,,,PHY F313,PHY F312,
G206,,ME G539,ME G532,PHY F212,DE G531,,,PHY F112,MATH F313,
G207,,ME F443,ME G511,PHY F212,,,,BITS F111,MATH F313,
G208,,ECON F311,INSTR F311,PHY F212,,,,ECON F312,ECON F313,
H106,,,,,,,EEE F311,EEE F311,,
I011,,,,,,,,,,
I012,,INSTR F215,INSTR F215,,,INSTR F215,INSTR F215,,,
I013,,INSTR F215,INSTR F215,,,INSTR F215,INSTR F215,,,
I014,,CS G526,CS G526,,,,,CS G623,CS G623,
I015,,,,,,,BITS F232,BITS F232,,
I111,INSTR F211,,,CS G525,,,CS F301,,EEE F111,
I112,CS F213,,,INSTR F424,,,,,EEE F111,
I113,CS F214,,,MATH F424,,,,,,
I114,CS F214,,,,,,,,,MATH F211
I115,,,,EEE G510,EEE G510,,,,,
I122,EEE F111,,,,,,,,MATH F211,
I124,,MEL G624,MEL G624,,,,MEL G626,MEL G626,MEL G631,MEL G631
I210,INSTR F214,,,BIO G512,,,,,MATH F211,
I211,INSTR F214,,EEE G614,,MEL G624,,,,MATH F211,
I212,INSTR F214,,,,,,,,MATH F211,
I213,INSTR F214,BITS F386,,MEL G631,,,,,MATH F211,
I214,,,,,,,,,,
I221,INSTR F313,,,EEE G581,,,,,MATH F211,
I222,,,,,,,,,MATH F211,
J105,,,,,,,EEE F411,EEE F411,EEE G513,EEE G513
J106,,,,,,,,,,
J107,BITS F437,HSS F363,GS F211,ECON F215,,,,,MATH F211,
J115,MATH F214,GS F312,HSS F228,HSS F346,,,,MATH F312,MATH F211,
J119,MATH F214,HSS F336,,BITS G524,BITS G526,,,MATH F312,MATH F211,
J120,INSTR F312,,HSS F237,HSS F247,,,,,MATH F211,
J121,,,,,,,,,MATH F211,
J204,,,,,,,BITS F415,BITS F415,MATH F211,
J206,,,,,,,,,MATH F211,
J214,,,,,,,,,MATH F211,
J217,,ECON F242,HSS F328,ECON F351,,,,,MATH F211,
J218,,,,,,,,,MATH F211,
J219,,,HSS F361,,,,,,MATH F211,
J220,,,,,,,,,MATH F211,
K125,,,,,,,,,,
LAB,,,,,,BIO G510,MF F311,MF F311,MSE G511,MSE G511
WS,,INSTR F211,ME F112,ME F112,ME F112,INSTR F211,INSTR F211,,ME G532,ME G532
