COURSE NO.,COURSE TITLE,SECTION,INSTRUCTOR,ROOM,DAYS,HOURS
AN F311,PRINCIPLES OF AERODYNAMICS,1,PARDHA SARADHI GURUG,G205,M W F,8
AN F313,FLIGHT MECHANICS AND CONTROLS,1,JAYAPRAKASH K S,G203,M W F,2
BIO F110,BIOLOGY LABORATORY,1,Supratim Ghosh,A122,M,7 8
BIO F110,BIOLOGY LABORATORY,2,Pragya Komal,A122,T,3 4
BIO F110,BIOLOGY LABORATORY,3,SHUVADEEP MAITY,A122,W,7 8
BIO F110,BIOLOGY LABORATORY,4,Shuvadeep Maity,A122,F,7 8
BIO F110,BIOLOGY LABORATORY,5,Satarupa Das,A122,Th,5 6
BIO F110,BIOLOGY LABORATORY,6,Naga Mohan K,A122,F,2 3
BIO F110,BIOLOGY LABORATORY,7,Ruchi Jain Dey,A122,W,2 3
BIO F110,BIOLOGY LABORATORY,8,Nishith Gupta,A122,S,3 4
BIO F110,BIOLOGY LABORATORY,9,Amartya Sanyal,A122,M,2 3
BIO F110,BIOLOGY LABORATORY,10,Debashree B,A122,Th,3 4
BIO F110,BIOLOGY LABORATORY,11,Debashree B,A122,T,5 6
BIO F111,GENERAL BIOLOGY,1,Jayati Ray Dutta,F105,M W F,5
BIO F111,GENERAL BIOLOGY,2,Vidya Rajesh,F102,M W F,1
BIO F111,Tutorial,1,Jayati Ray Dutta,G101,T,7
BIO F111,Tutorial,2,K  Pranav Narayan,G103,T,7
BIO F111,Tutorial,3,Sridev Mohapatra,G102,T,7
BIO F111,Tutorial,4,KIRTIMAAN SYAL,G104,T,7
BIO F111,Tutorial,5,Vivek Sharma,G105,T,7
BIO F111,Tutorial,6,Piyush Khandelia,G106,T,7
BIO F111,Tutorial,7,Gireesha T Mohannath,G107,T,7
BIO F111,Tutorial,8,Vidya Rajesh,G108,T,7
BIO F111,Tutorial,9,Trinath Jamma,G205,T,7
BIO F211,BIOLOGICAL CHEMISTRY,1,DEBASHREE B,G102,M W F,3
BIO F211,Tutorial,1,Ali Akbar Shoukat Safdari,G102,T,1
BIO F212,MICROBIOLOGY,1,RUCHI JAIN DEY,G102,M W F,8
BIO F212,Practical,1,Ruchi Jain Dey,A123,T,7 8 9
BIO F212,Practical,2,Ruchi Jain Dey,A123,Th,7 8 9
BIO F213,CELL BIOLOGY,1,NAGA MOHAN K,G102,M W,2
BIO F213,CELL BIOLOGY,1,Naga Mohan K,G102,F,7
BIO F213,Tutorial,1,Minali Singh,G102,Th,1
BIO F214,INTEGRATED BIOLOGY,1,JAYATI RAY DUTTA,G102,T Th S,4
BIO F214,Tutorial,1,Mude Hemanjali,G102,S,1
BIO F216,WATER SANITATION AND SOLID WASTE MANAGEMENT,1,P SANKAR GANESH,G103,Th,10
BIO F311,RECOMBINANT DNA TECH,1,VIDYA RAJESH,G102,M W F,9
BIO F311,Tutorial,1,Devika.P,F203,Th,8
BIO F312,PLANT PHYSIOLOGY,1,SRIDEV MOHAPATRA,G102,T Th S,2
BIO F312,Tutorial,1,Raunak Sharma,F203,T,8
BIO F313,ANIMAL PHYSIOLOGY,1,PRAGYA KOMAL,G102,M W F,4
BIO F313,Tutorial,1,Sharon Mariam Abraham,F203,Th,9
BIO F352,CELL & TISSUE CULTR TECH,1,K  PRANAV NARAYAN,G104,M W F,3
BIO F441,BIOCHEMICAL ENGINEERING,1,SUPRATIM GHOSH,G104,M W F,2
BIO G510,APPL OF COMP AND STATS IN BIOLOGY,1,AMARTYA SANYAL,G105,T Th S,4
